ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2012-05-29 15:01:08,2012-05-29 15:01:08,0.048,192.168.0.251,8.8.8.8,52975,53,UDP,........,0,0,2,130,1,81,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:53:04.325
2012-05-29 13:02:57,2012-05-29 13:02:59,1.559,192.168.0.250,184.82.139.38,50747,3080,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:59.058
2012-05-29 15:28:09,2012-05-29 15:28:10,1.506,192.168.0.251,184.82.139.38,51775,3178,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:53:05.500
2012-05-29 07:41:26,2012-05-29 07:41:26,0.053,192.168.0.250,8.8.8.8,54271,53,UDP,........,0,0,2,130,1,81,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:49.900
2012-05-29 13:11:07,2012-05-29 13:11:09,1.564,192.168.0.251,184.82.139.38,50821,3178,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:59.442
2012-05-29 11:26:01,2012-05-29 11:26:03,1.552,192.168.0.250,184.82.139.38,50150,3080,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:55.500
2012-05-29 12:24:33,2012-05-29 13:35:08,4234.220,192.168.0.251,8.8.8.8,62355,53,UDP,........,0,0,4,260,2,162,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:57.667
2012-05-29 14:46:00,2012-05-29 14:46:00,0.051,192.168.0.251,8.8.8.8,60314,53,UDP,........,0,0,2,132,1,82,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:53:03.667
2012-05-29 14:32:00,2012-05-29 14:32:01,1.591,192.168.0.251,184.82.139.38,51386,3080,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:53:02.933
2012-05-29 07:31:40,2012-05-29 07:31:42,1.586,192.168.0.250,184.82.139.38,49214,3080,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:49.692
2012-05-29 12:52:37,2012-05-29 12:52:39,1.572,192.168.0.251,184.82.139.38,50693,3178,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:58.708
2012-05-29 14:13:08,2012-05-29 14:13:08,0.199,192.168.0.250,8.8.8.8,49496,53,UDP,........,0,0,2,130,1,81,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:53:02.067
2012-05-29 11:53:06,2012-05-29 11:54:12,65.838,192.168.0.250,184.82.139.38,50329,3178,TCP,...A..SF,0,0,20,824,2,92,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:56.467
2012-05-29 08:03:41,2012-05-29 08:03:43,1.592,192.168.0.251,184.82.139.38,49337,3080,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:50.300
2012-05-29 08:05:13,2012-05-29 08:05:15,1.598,192.168.0.250,184.82.139.38,49348,3080,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:50.400
2012-05-29 09:27:51,2012-05-29 13:33:30,14739.469,192.168.0.250,8.8.8.8,61356,53,UDP,........,0,0,4,260,2,162,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:52.058
2012-05-29 08:36:29,2012-05-29 08:36:33,3.928,192.168.0.251,184.82.139.38,49468,3080,TCP,...A.R..,0,0,6,304,2,80,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:51.017
2012-05-29 07:48:40,2012-05-29 14:03:27,22487.837,192.168.0.251,8.8.8.8,55757,53,UDP,........,0,0,4,260,2,162,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:50.000
2012-05-29 13:10:13,2012-05-29 13:10:15,1.597,192.168.0.250,184.82.139.38,50791,3080,TCP,...A.R..,0,0,6,304,3,120,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:59.442
2012-05-29 08:12:27,2012-05-29 08:12:27,0.050,192.168.0.251,8.8.8.8,57818,53,UDP,........,0,0,2,130,1,81,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:50.500
2012-05-29 13:10:37,2012-05-29 13:10:37,0.049,192.168.0.251,8.8.8.8,52280,53,UDP,........,0,0,2,130,1,81,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:59.442
2012-05-29 15:26:25,2012-05-29 15:26:25,0.056,192.168.0.250,8.8.8.8,52476,53,UDP,........,0,0,2,130,1,81,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:53:05.500
2012-05-29 08:51:02,2012-05-29 08:51:02,0.049,192.168.0.250,8.8.8.8,65040,53,UDP,........,0,0,2,130,1,81,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:51.358
2012-05-29 13:46:26,2012-05-29 13:46:27,1.396,192.168.0.251,184.82.139.38,51063,3080,TCP,...A.R..,0,0,6,304,2,80,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:53:00.983
2012-05-29 12:25:07,2012-05-29 12:26:12,65.578,192.168.0.250,184.82.139.38,50520,3178,TCP,...A..SF,0,0,20,824,2,92,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:57.850
2012-05-29 11:41:06,2012-05-29 11:41:06,0.049,192.168.0.250,8.8.8.8,61035,53,UDP,........,0,0,2,130,1,81,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:56.083
2012-05-29 11:31:27,2012-05-29 11:31:27,0.403,192.168.0.250,205.251.133.247,50239,80,TCP,...AP.SF,0,0,20,1566,9,9625,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,17/1,0,2023-10-04 12:52:55.708
